Sample	Project	Sub_Location	Location	Season	Month	Year	Sample_Type	Sample_ID	Day	Station_ID	Station_Name	Collected_by	Time	Samples_Collected_by	Temperature_C	mm_Hg	DO_mg_L	DO_LDO	Specific_Conductance_uS_cm	Salinity_ppt	pH	pH_mv	IVCH_ug_L	Turbidity_ Fluorometer	Comments
220	S003	LSJ3	LSJ	W	October	2021	N	220	26	LSJ3	San Jose Lagoon 3	Land	10:00 AM	ICC/MOL	29.3	762	2.97	40.40%	14195	8.17	7.84	-78.6	79.6	7.228	Water color: green.
pr247a	S003	LSJ3	LSJ	W	November	2021	N	pr247a	10	LSJ3	San Jose Lagoon 3	Land	9:02 AM	JOV	29.2	761	2.25	32.10%	16735	9.77	7.52	-69.1	34.57	4.395	Water color: brown. 
pr267a	S003	LSJ3	LSJ	D	December	2021	N	pr267a	1	LSJ3	San Jose Lagoon 3	Land	12:17 AM	ICC	28.5	762.2	5.12	70.70%	19294	11.41	7.85	-84.2	32.03	3.785	Water color: green. It rained the day before. It was drizzling  before collecting the water sample.
PR334	S015	LSJ3	LSJ	D	January	2022	N	PR334	27	LSJ3	San Jose Lagoon 3	Land	10:42 AM	ICC/APR/AVC	27.3	762.7	12.8	162.60%	18608	10.99	8.68	-141.5	52.39	5.831	Water color: green.
PR402	S015	LSJ3	LSJ	D	March	2022	N	PR402	31	LSJ3	San Jose Lagoon 3	Land	11:06 AM	APR/AVC	27.5	762.4	7.17	96.6	15533	9.12	8.69	-129.3	54.97	7.85	Water color: green. It rained the day before and before the sampling event.  
PR555A	S015	LT1	LT	W	July	2021	N	PR555A	19	LT1	Torrecillas Lagoon 1	Boat	9:47 AM	ICC	29.7	763.3	9.22	142.50%	44992	28.98	7.43	-57.4	12.65	1.989	 
PR139C	S015	LT1	LT	W	September	2021	N	PR139C	27	LT1	Torrecillas Lagoon 1	Boat	10:44 AM	ICC	30.4	760.7	6.56	108.40%	53869	35.32	7.61	-74.6	2.313	2.025	 
PR416	S015	LT1	LT	D	April	2022	N	PR416	1	LT1	Torrecillas Lagoon 1	Boat	10:31 AM	ICC	26.7	763.3	6.69	103.8	53987	35.62	7.95	-90.4	4.685	3.596	 It rained the day before the sampling event. 
PR554A	S015	LT2	LT	W	July	2021	N	PR554A	19	LT2	Torecillas Lagoon 2	Boat	9:36 AM	ICC	30.5	763.2	8	120.20%	42440	27.09	7.37	-53.5	17	2.224	 
PR141C	S015	LT2	LT	W	September	2021	N	PR141C	27	LT2	Torrecillas Lagoon 2	Boat	10:23 AM	ICC	31.4	760.8	5.83	94.10%	38533	24.33	7.36	-58	23.56	2.675	Water color: greenish
PR311	S015	LT2	LT	D	January	2022	N	PR311	24	LT2	Torrecillas Lagoon 2	Boat	N/A	ICC	25.98	N/A	5.46	79.50%	45.138	29.2	7.76	N/A	N/A	0.4	Water color: green. 
PR415	S015	LT2	LT	D	April	2022	N	PR415	1	LT2	Torrecillas Lagoon 2	Boat	10:15 AM	ICC	26.9	763.3	5.59	82.6	45797	29.63	7.79	-80.8	12.89	3.309	Water color: brown. It rained the day before the sampling event. 
